platform,ad_format,objective,audience_size,daily_budget,creative_quality,days_running,retargeting,day_of_week,ctr,cpc,roas
Meta,video,traffic,medium,1454.52,4,1,0,0,0.0221,1.9,3.4
Google,video,awareness,narrow,1390.2,2,32,0,0,0.0306,2.97,2.86
Google,carousel,traffic,broad,236.72,5,8,0,6,0.0317,2.69,3.16
Meta,video,conversions,medium,1849.02,3,40,1,3,0.0402,2.4,5.82
Meta,video,conversions,narrow,1158.52,3,56,1,3,0.055,2.73,7.26
Meta,carousel,conversions,broad,759.26,3,63,0,6,0.0256,2.38,3.5
Meta,image,conversions,medium,1525.25,1,88,0,4,0.0212,2.62,2.38
Google,carousel,conversions,narrow,551.86,1,74,1,3,0.0417,3.63,4.27
Google,video,traffic,medium,1402.34,3,74,0,5,0.029,2.78,2.67
Google,image,conversions,narrow,127.44,4,36,1,6,0.0328,3.11,6.04
Meta,video,conversions,broad,1686.85,4,89,0,1,0.0321,2.4,4.25
Google,video,conversions,broad,923.93,1,57,0,5,0.0279,3.08,2.16
Google,carousel,traffic,broad,1291.55,3,74,0,6,0.0222,2.76,2.16
Meta,video,conversions,medium,481.41,4,83,1,3,0.0587,2.1,6.77
Meta,image,traffic,medium,1370.29,1,45,1,1,0.0374,1.92,3.76
Meta,image,conversions,broad,1555.87,3,79,0,1,0.0243,2.01,4.27
Meta,video,awareness,narrow,972.77,2,80,1,0,0.0585,2.39,6.09
Meta,carousel,awareness,medium,1254.57,3,2,0,4,0.0281,1.93,2.5
Meta,video,conversions,medium,939.84,3,68,0,0,0.0322,2.58,3.5
Meta,image,conversions,narrow,1793.48,5,50,1,6,0.0478,2.94,6.3
Google,carousel,conversions,medium,1020.84,5,29,0,0,0.0217,2.58,4.03
Meta,image,conversions,broad,1691.53,2,81,0,5,0.031,2.4,2.41
Meta,carousel,traffic,broad,1612.64,2,10,0,3,0.03,1.92,2.94
Meta,video,awareness,narrow,850.48,3,27,1,5,0.0439,2.38,5.46
Meta,image,traffic,narrow,498.66,4,15,1,3,0.0429,1.43,5.38
Google,video,awareness,narrow,841.86,2,60,1,5,0.0415,2.96,4.44
Meta,image,conversions,broad,1661.12,3,31,0,1,0.0212,2.65,3.11
Meta,carousel,conversions,narrow,493.88,1,21,1,3,0.0332,2.35,4.03
Meta,video,traffic,broad,1072.65,5,60,0,3,0.0349,1.84,5.15
Meta,image,conversions,narrow,1621.89,4,58,1,5,0.0464,2.7,6.87
Google,video,traffic,medium,739.28,3,41,0,2,0.0261,2.3,3.38
Meta,image,conversions,medium,1302.31,1,46,0,1,0.0241,2.27,1.89
Meta,image,conversions,broad,528.98,5,45,0,6,0.0391,1.95,4.35
Google,carousel,awareness,narrow,263.09,1,26,1,1,0.0315,2.98,3.98
Google,image,conversions,medium,1599.05,3,51,1,6,0.0349,3.06,4.97
Google,video,awareness,narrow,242.99,2,36,0,2,0.0346,2.5,2.59
Meta,video,awareness,broad,579.19,5,52,0,5,0.0388,2.2,3.7
Meta,video,traffic,broad,1717.46,1,81,1,5,0.0309,2.3,3.68
Google,video,traffic,narrow,725.62,2,51,0,1,0.0315,2.36,2.84
Meta,video,traffic,broad,1947.44,4,3,1,5,0.0457,1.85,5.82
Meta,carousel,awareness,medium,1960.48,3,14,1,4,0.0324,2.16,3.13
Meta,image,conversions,narrow,573.14,3,49,0,4,0.0413,2.67,4.49
Meta,image,conversions,medium,129.91,5,77,0,6,0.0422,1.59,4.21
Google,video,traffic,narrow,1424.87,1,1,0,2,0.0244,3.48,1.62
Meta,carousel,conversions,broad,929.42,4,57,0,3,0.033,2.53,2.67
Google,image,conversions,broad,246.47,5,17,0,4,0.0302,3.02,3.12
Meta,video,conversions,narrow,1429.67,5,50,1,6,0.0563,3.24,8.01
Meta,image,traffic,medium,110.79,1,14,0,5,0.0214,1.67,1.8
Meta,image,awareness,broad,1746.88,4,59,0,2,0.0258,2.16,2.21
Meta,video,conversions,broad,320.37,1,81,1,6,0.0307,2.56,5.16
Google,image,awareness,medium,298.26,3,3,1,6,0.0323,2.72,4.23
Google,image,traffic,broad,392.56,2,40,1,4,0.0185,2.17,3.01
Google,video,awareness,medium,1922.52,3,89,0,0,0.0327,3.07,4.15
Google,carousel,traffic,medium,1401.68,3,66,1,2,0.0296,2.52,4.37
Meta,carousel,traffic,broad,1612.67,5,34,1,1,0.0402,2.14,5.21
Google,image,conversions,medium,825.39,3,9,0,6,0.0309,3.19,2.43
Meta,image,awareness,medium,705.81,4,84,0,4,0.0305,1.3,3.83
Meta,image,conversions,medium,507.24,3,21,0,1,0.0236,2.12,3.37
Meta,image,awareness,broad,987.26,4,25,1,2,0.0299,1.88,4.52
Meta,image,awareness,broad,1126.07,1,44,0,4,0.013,1.71,1.02
Meta,video,conversions,medium,1281.96,5,25,1,1,0.055,2.48,6.81
Meta,image,conversions,medium,551.38,4,9,1,3,0.0438,2.41,5.04
Google,carousel,traffic,medium,1899.88,3,62,0,6,0.0188,2.86,1.07
Meta,image,conversions,medium,381.03,5,26,0,3,0.0292,2.18,4.69
Meta,video,awareness,narrow,1933.02,5,57,0,0,0.0464,2.89,4.11
Meta,carousel,conversions,broad,78.97,4,37,0,5,0.0311,2.17,3.65
Meta,video,conversions,medium,988.2,4,16,1,2,0.0608,2.36,6.6
Google,video,awareness,medium,700.07,2,37,1,5,0.0352,2.22,4.33
Meta,video,traffic,narrow,925.79,2,76,0,5,0.0451,2.38,3.71
Google,video,awareness,narrow,1162.8,5,24,1,1,0.0441,3.15,5.92
Google,carousel,conversions,broad,899.4,2,26,0,0,0.0131,3.45,2.05
Meta,image,traffic,medium,858.95,3,20,0,2,0.0194,1.77,2.81
Meta,video,traffic,narrow,1478.81,1,9,0,3,0.0389,1.8,3.94
Google,carousel,traffic,medium,1387.46,5,87,0,5,0.0378,2.21,3.71
Google,carousel,traffic,medium,1674.88,1,29,1,1,0.0231,3.02,2.75
Google,carousel,traffic,narrow,537.42,2,31,1,5,0.0337,2.69,3.45
Google,video,conversions,medium,1238.58,4,19,0,4,0.0292,3.3,4.05
Meta,image,conversions,medium,1191.13,5,20,0,3,0.0259,2.39,4.39
Meta,carousel,traffic,medium,770.99,2,87,0,5,0.0286,1.68,2.52
Meta,carousel,conversions,medium,997.81,3,27,0,4,0.0331,2.27,3.73
Google,video,traffic,medium,661.88,5,85,1,4,0.0441,2.24,5.66
Google,video,conversions,broad,326.6,5,44,1,1,0.038,2.89,6.16
Meta,image,traffic,medium,466.91,4,35,1,1,0.0462,1.46,5.48
Meta,carousel,traffic,narrow,255.75,5,71,0,4,0.0375,1.87,4.82
Meta,image,conversions,narrow,1381.99,4,22,0,0,0.0407,2.72,4.45
Meta,image,conversions,medium,1338.42,2,74,0,5,0.0187,2.33,2.5
Google,video,conversions,broad,1903.68,3,87,0,4,0.028,3.65,3.11
Google,image,traffic,narrow,1472.87,3,15,0,4,0.0275,3.1,2.81
Google,carousel,awareness,broad,151.49,5,13,0,1,0.0276,2.65,3.82
Meta,video,conversions,narrow,1774.28,5,4,0,5,0.0498,3.39,5.17
Meta,carousel,traffic,medium,1732.22,2,82,1,2,0.0375,2.28,4.38
Google,carousel,conversions,broad,914.47,4,56,1,3,0.0313,3.23,4.41
Google,video,conversions,medium,1192.43,3,23,0,1,0.033,3.26,3.05
Meta,image,awareness,medium,1953.35,4,34,1,5,0.0386,2.35,4.35
Google,video,conversions,narrow,1087.99,2,17,0,5,0.0362,3.55,2.57
Meta,carousel,conversions,broad,1815.38,3,28,0,6,0.0294,2.84,3.65
Meta,image,conversions,narrow,211.93,3,14,1,0,0.0386,2.65,4.31
Meta,image,conversions,broad,422.55,1,34,0,3,0.0134,2.02,1.92
Meta,carousel,conversions,narrow,909.47,2,75,1,1,0.0339,2.94,4.62
Meta,video,conversions,broad,1190.28,2,57,0,1,0.0351,2.38,3.1
Meta,carousel,traffic,medium,1641.64,1,77,0,2,0.0261,1.96,2.75
Google,image,conversions,broad,1977.11,4,55,0,6,0.0282,3.25,3.22
Meta,video,traffic,medium,808.26,1,66,1,6,0.0385,1.79,3.9
Meta,image,conversions,broad,142.46,2,37,1,0,0.0223,2.34,3.79
